name,code
AC Ajaccio,0
AC Cesena,1
AC Fiorentina,2
AC Horsens,3
AC Le Havre,4
AC Milan,5
AC Monza,6
AC Parma,7
AC Perugia,8
AC Reggiana,9
AC Siena,10
AC Venezia,11
ACF Fiorentina,12
ADO Den Haag,13
AEK Athens,14
AFC Bournemouth,15
AJ Auxerre,16
APO Levadiakos,17
AS Bari,18
AS Cannes,19
AS Livorno,20
AS Monaco,21
AS Nancy Lorraine,22
AS Roma,23
AS Saint Étienne,24
AZ Alkmaar,25
Aalborg BK,26
Aarhus GF,27
Aberdeen FC,28
Académica Coimbra,29
Adana Demirspor,30
Ajax Amsterdam,31
Akhmat Grozny,32
Alania Vladikavkaz,33
Alanyaspor,34
Albacete Balompié,35
Alemannia Aachen,36
Amiens SC,37
Amkar Perm,38
Ancona Calcio,39
Angers SCO,40
Antalyaspor,41
Anzhi Makhachkala,42
Aris Thessaloniki,43
Arminia Bielefeld,44
Arsenal FC,45
Arsenal Tula,46
Ascoli Calcio,47
Association Troyes Aube Champagne,48
Asteras Tripolis,49
Aston Villa,50
Atalanta BC,51
Athletic Bilbao,52
Athlétic Club Arlésien,53
Atlético de Madrid,54
Atromitos Athen,55
Baltika Kaliningrad,56
Barnsley FC,57
Basaksehir FK,58
Bayer Leverkusen,59
Bayer Uerdingen,60
Bayern Munich,61
Belenenses SAD,62
Benevento Calcio,63
Besiktas JK,64
Birmingham City,65
Blackburn Rovers,66
Blackpool FC,67
Boavista FC,68
Bologna FC,69
Bolton Wanderers,70
Borussia Dortmund,71
Borussia Mönchengladbach,72
Bradford City,73
Brentford FC,74
Brescia Calcio,75
Brighton & Hove Albion,76
Bristol City,77
Bröndby IF,78
Burnley FC,79
Burton Albion,80
CA Felgueiras,81
CA Osasuna,82
CD Feirense,83
CD Leganés,84
CD Logroñés,85
CD Nacional,86
CD Numancia,87
CD Santa Clara,88
CD Tenerife,89
CD Tondela,90
CD Trofense,91
CF Extremadura,92
CF Os Belenenses,93
CF União Madeira,94
CP Mérida,95
CS Marítimo,96
CS Sedan Ardennes,97
CSKA Moscow,98
Cagliari Calcio,99
Calcio Padova,100
Cambuur Leeuwarden bvo,101
Cardiff City,102
Carpi FC,103
Casa Pia AC,104
Catania SSD,105
Celta de Vigo,106
Celtic FC,107
Cercle Brugge,108
Charlton Athletic,109
Chelsea FC,110
Chernomorets Novorossijsk,111
Chievo Verona,112
Chornomorets Odessa,113
Clermont Foot,114
Club Brugge KV,115
Clube Futebol Estrela da Amadora,116
Colchester United,117
Como Calcio,118
Coventry City,119
Crewe Alexandra,120
Crystal Palace,121
Cádiz CF,122
Córdoba CF,123
De Graafschap Doetinchem,124
Delfino Pescara,125
Deportivo Alavés,126
Deportivo de La Coruña,127
Derby County,128
Desportivo Aves,129
Dijon FCO,130
Dinamo Gazovik Tyumen,131
Dinamo Moscow,132
Dinamo Stavropol,133
Doncaster Rovers,134
Dordrecht',135
Dundee United FC,136
Dynamo Kyiv,137
