club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
389,Andreas Herzog,23.0,Attacking Midfield,Rapid Vienna,€1.50m,in,Summer,1.5,1 Bundesliga,1992,1992/1993
389,Dietmar Beiersdorfer,28.0,Centre-Back,Hamburger SV,€1.00m,in,Summer,1.0,1 Bundesliga,1992,1992/1993
389,Hans-Jürgen Gundelach,28.0,Goalkeeper,FC 08 Homburg,€175Th.,in,Summer,0.175,1 Bundesliga,1992,1992/1993
389,Oliver Freund,22.0,Left Midfield,Hannover 96,"End of loanJun 30, 1992",in,Summer,-1.0,1 Bundesliga,1992,1992/1993
389,Oliver Freund,22.0,Left Midfield,SC Freiburg,€650Th.,out,Summer,0.65,1 Bundesliga,1992,1992/1993
389,Alexander Malchow,22.0,Centre-Back,VfB Oldenburg,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993
389,Marinus Bester,23.0,Centre-Forward,Hamburger SV,loan transfer,out,Summer,-1.0,1 Bundesliga,1992,1992/1993
389,Jürgen Rollmann,25.0,Goalkeeper,MSV Duisburg,?,out,Summer,-1.0,1 Bundesliga,1992,1992/1993
389,Markus Witossek,20.0,defence,W. Bremen Res.,-,out,Summer,-1.0,1 Bundesliga,1992,1992/1993
461,Dimitrios Moutas,24.0,Centre-Forward,Stuttg. Kickers,free transfer,in,Summer,0.0,1 Bundesliga,1992,1992/1993
461,Sven Christians,25.0,defence,Wuppertaler SV,?,in,Summer,-1.0,1 Bundesliga,1992,1992/1993
461,Peter Zanter,26.0,Centre-Back,SV Straelen,free transfer,out,Summer,0.0,1 Bundesliga,1992,1992/1993
461,Thorsten Schmugge,20.0,Right Midfield,Wuppertaler SV,?,out,Summer,-1.0,1 Bundesliga,1992,1992/1993
461,Oti Cabo,22.0,defence,Unknown,?,out,Summer,-1.0,1 Bundesliga,1992,1992/1993
461,Ivo Knoflicek,30.0,Centre-Forward,Vorwärts Steyr,?,out,Summer,-1.0,1 Bundesliga,1992,1992/1993
461,Thomas Epp,24.0,Centre-Forward,Stuttg. Kickers,?,out,Summer,-1.0,1 Bundesliga,1992,1992/1993
461,Christian Broos,23.0,Defensive Midfield,Wuppertaler SV,?,out,Summer,-1.0,1 Bundesliga,1992,1992/1993
461,Andreas Hain,28.0,midfield,WSV Bochum,?,out,Summer,-1.0,1 Bundesliga,1992,1992/1993
460,André Golke,27.0,Attacking Midfield,1.FC Nuremberg,€1.25m,in,Summer,1.25,1 Bundesliga,1992,1992/1993
460,Thomas Strunz,24.0,Defensive Midfield,Bayern Munich,free transfer,in,Summer,0.0,1 Bundesliga,1992,1992/1993
460,Adrian Knup,23.0,Centre-Forward,FC Luzern,?,in,Summer,-1.0,1 Bundesliga,1992,1992/1993
