club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
268,David Connolly,27.0,attack,West Ham,€750Th.,in,Summer,0.75,Championship,2004,2004/2005
268,Gareth Williams,22.0,Central Midfield,Nottm Forest,€750Th.,in,Summer,0.75,Championship,2004,2004/2005
268,Alan Maybury,25.0,Right-Back,Heart of Midl.,€75Th.,in,Summer,0.075,Championship,2004,2004/2005
268,Joey Gudjónsson,24.0,Central Midfield,Real Betis,free transfer,in,Summer,0.0,Championship,2004,2004/2005
268,Kevin Pressman,36.0,Goalkeeper,Sheff Wed,free transfer,in,Summer,0.0,Championship,2004,2004/2005
268,Chris Makin,31.0,Left-Back,Ipswich,free transfer,in,Summer,0.0,Championship,2004,2004/2005
268,Danny Tiatto,31.0,Left-Back,Man City,free transfer,in,Summer,0.0,Championship,2004,2004/2005
268,Scot Gemmill,33.0,Central Midfield,Everton,free transfer,in,Summer,0.0,Championship,2004,2004/2005
268,Dion Dublin,35.0,Centre-Forward,Aston Villa,free transfer,in,Summer,0.0,Championship,2004,2004/2005
268,Martin Keown,37.0,Centre-Back,Arsenal,free transfer,in,Summer,0.0,Championship,2004,2004/2005
268,Nathan Blake,32.0,Centre-Forward,Wolves,free transfer,in,Summer,0.0,Championship,2004,2004/2005
268,Jason Wilcox,32.0,Left Winger,Leeds,free transfer,in,Summer,0.0,Championship,2004,2004/2005
268,Kevin Harper,28.0,Right Midfield,Portsmouth,loan transfer,in,Summer,-1.0,Championship,2004,2004/2005
268,Richard Stearman,16.0,Centre-Back,Leicester U18,-,in,Summer,-1.0,Championship,2004,2004/2005
268,James Graham,17.0,Centre-Forward,Leicester U18,-,in,Summer,-1.0,Championship,2004,2004/2005
268,Conrad Logan,18.0,Goalkeeper,Leicester U18,-,in,Summer,-1.0,Championship,2004,2004/2005
268,Chris O'Grady,18.0,Centre-Forward,Leicester U18,-,in,Summer,-1.0,Championship,2004,2004/2005
268,Chris Makin,31.0,Left-Back,Derby,"End of loanMay 1, 2005",in,Summer,-1.0,Championship,2004,2004/2005
268,James Scowcroft,29.0,Centre-Forward,Ipswich,"End of loanMay 1, 2005",in,Summer,-1.0,Championship,2004,2004/2005
268,Ben Thatcher,28.0,Left-Back,Man City,€1.50m,out,Summer,1.5,Championship,2004,2004/2005
268,Paul Dickov,31.0,Centre-Forward,Blackburn,€225Th.,out,Summer,0.225,Championship,2004,2004/2005
268,Riccardo Scimeca,29.0,Centre-Back,West Brom,€150Th.,out,Summer,0.15,Championship,2004,2004/2005
268,Billy McKinlay,35.0,Right Midfield,Fulham,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Ashley Lyth,22.0,Right-Back,Scarborough Athletic,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Craig Hignett,34.0,Right Winger,Leeds,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Paul Brooker,27.0,Attacking Midfield,Reading,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Les Ferdinand,37.0,Centre-Forward,Bolton,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Callum Davidson,28.0,Left-Back,Preston,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Muzzy Izzet,29.0,Attacking Midfield,Birmingham,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Steve Guppy,35.0,Left Winger,Leeds,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Paul Murphy,19.0,Goalkeeper,Dundalk FC,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Nicolas Priet,21.0,Centre-Back,Doncaster,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Frank Sinclair,32.0,Centre-Back,Burnley,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Andy Impey,32.0,Defensive Midfield,Nottm Forest,free transfer,out,Summer,0.0,Championship,2004,2004/2005
268,Chris O'Grady,18.0,Centre-Forward,Notts County,loan transfer,out,Summer,-1.0,Championship,2004,2004/2005
268,Danny Coyne,30.0,Goalkeeper,Burnley,€40Th.,out,Summer,0.04,Championship,2004,2004/2005
268,Matt Elliott,35.0,Centre-Back,Retired,-,out,Summer,-1.0,Championship,2004,2004/2005
268,Matthew Jones,23.0,Central Midfield,Retired,-,out,Summer,-1.0,Championship,2004,2004/2005
268,Kevin Harper,28.0,Right Midfield,Portsmouth,"End of loanOct 1, 2004",out,Summer,-1.0,Championship,2004,2004/2005
268,Stefan Moore,21.0,Centre-Forward,Aston Villa,"End of loanMay 11, 2005",out,Summer,-1.0,Championship,2004,2004/2005
268,Steffen Freund,34.0,Defensive Midfield,1.FC K'lautern,"End of loanJun 30, 2004",out,Summer,-1.0,Championship,2004,2004/2005
268,Darren Kenton,26.0,Centre-Back,Southampton,"End of loanMay 9, 2005",out,Summer,-1.0,Championship,2004,2004/2005
267,David Healy,25.0,Centre-Forward,Preston,€2.75m,in,Summer,2.75,Championship,2004,2004/2005
267,Sean Gregan,30.0,Centre-Back,West Brom,€750Th.,in,Summer,0.75,Championship,2004,2004/2005
267,Stephen Crainey,23.0,Left-Back,Southampton,€250Th.,in,Summer,0.25,Championship,2004,2004/2005
267,Danny Cadamarteri,24.0,Right Winger,Bradford,free transfer,in,Summer,0.0,Championship,2004,2004/2005
