club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
211,René Hofman,31.0,Right Winger,Roda JC,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
211,Kenneth Nysaether,22.0,Centre-Forward,Lillestrøm,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
211,Peter Schmitz,21.0,attack,Helmond Sport,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
211,Arno van Zwam,22.0,Goalkeeper,Fortuna U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
211,Marco Boogers,25.0,Centre-Forward,RKC Waalwijk,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
211,Roger Reijners,28.0,Left Midfield,MVV Maastricht,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
211,Jerry Taihuttu,22.0,Centre-Forward,Helmond Sport,loan transfer,out,Summer,-1.0,Eredivisie,1992,1992/1993
211,Henk Duut,28.0,defence,Retired,-,out,Summer,-1.0,Eredivisie,1992,1992/1993
226,Jan Michels,21.0,Central Midfield,FC Zwolle,free transfer,in,Summer,0.0,Eredivisie,1992,1992/1993
226,Jason van Blerk,24.0,Left Midfield,St. George Saints,free transfer,in,Summer,0.0,Eredivisie,1992,1992/1993
226,Gijs Steinmann,31.0,defence,Heracles,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
226,Erik Willaarts,30.0,Centre-Forward,Dordrecht'90,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
226,Jacco Beerthuizen,23.0,Goalkeeper,Heracles,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
226,Niels Gerestein,20.0,midfield,VVV-Venlo,,in,Summer,-1.0,Eredivisie,1992,1992/1993
226,Dwight Lodeweges,34.0,Sweeper,Retired,-,out,Summer,-1.0,Eredivisie,1992,1992/1993
193,Michael Reiziger,19.0,Right-Back,Ajax,loan transfer,in,Summer,-1.0,Eredivisie,1992,1992/1993
193,Hans Bond,18.0,attack,Unknown,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
193,André Wasiman,29.0,midfield,Eindhoven,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
193,Pascal Jongsma,23.0,midfield,Unknown,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
193,Robert Molenaar,23.0,Centre-Back,Volendam U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
193,Jeffrey Kooistra,23.0,midfield,Haarlem,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
193,Achmed Buchaar,22.0,attack,Unknown,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
193,Elroy Kromheer,22.0,Sweeper,Motherwell FC,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
193,Carlo de Leeuw,31.0,Left Winger,Eindhoven,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
193,John Clayton,30.0,Centre-Forward,Burnley,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
31,Marc Overmars,19.0,Left Winger,Willem II,€908Th.,in,Summer,0.908,Eredivisie,1992,1992/1993
31,Jari Litmanen,21.0,Attacking Midfield,MYPA,€14Th.,in,Summer,0.014,Eredivisie,1992,1992/1993
31,Dries Boussatta,19.0,Right Winger,Telstar,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
31,Clarence Seedorf,16.0,Central Midfield,Ajax U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
31,Clyde Wijnhard,18.0,Centre-Forward,Ajax U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
31,Aron Winter,25.0,Defensive Midfield,Lazio,€1.30m,out,Summer,1.3,Eredivisie,1992,1992/1993
31,Michael Reiziger,19.0,Right-Back,FC Volendam,loan transfer,out,Summer,-1.0,Eredivisie,1992,1992/1993
31,Guus Uhlenbeek,21.0,Right-Back,Cambuur L.,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
31,John van 't Schip,28.0,Right Winger,Genoa,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
466,Erwin van de Looi,20.0,Centre-Back,FC Den Bosch,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
466,Hans Gillhaus,28.0,Centre-Forward,Aberdeen FC,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
466,Patrick Pothuizen,20.0,Centre-Back,Vit./AGOVV U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
407,Winston Bogarde,21.0,Centre-Back,Excelsior,€6Th.,in,Summer,0.006,Eredivisie,1992,1992/1993
407,Arjan van der Laan,22.0,Attacking Midfield,sv ARC,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
407,Dennis de Bruin,20.0,defence,Unknown,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
407,Tom Van Mol,19.0,Left-Back,PSV Eindhoven,loan transfer,in,Summer,-1.0,Eredivisie,1992,1992/1993
407,Arno Doomernik,21.0,Defensive Midfield,PSV Eindhoven,loan transfer,in,Summer,-1.0,Eredivisie,1992,1992/1993
407,Carlos Fortes,18.0,Left Winger,Sparta U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
407,Adilson Ben David Dos Santos,18.0,Centre-Forward,Sparta U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
407,Wim Bubberman,21.0,Centre-Back,Excelsior,loan transfer,out,Summer,-1.0,Eredivisie,1992,1992/1993
407,Ernest Faber,20.0,Centre-Back,PSV Eindhoven,"End of loanJun 30, 1992",out,Summer,-1.0,Eredivisie,1992,1992/1993
407,Mitchell van der Gaag,20.0,Centre-Back,PSV Eindhoven,"End of loanJun 1, 1992",out,Summer,-1.0,Eredivisie,1992,1992/1993
316,Arthur Numan,22.0,Left-Back,Twente FC,€1.27m,in,Summer,1.27,Eredivisie,1992,1992/1993
316,Thomas Thorninger,19.0,Centre-Forward,Vejle BK,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
316,Ton Cornelissen,28.0,Centre-Forward,Eendracht Aalst,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
316,Gregory Playfair,18.0,midfield,Neptunus,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
316,Marco de Jong,20.0,defence,PSV U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
316,René Klomp,17.0,Defensive Midfield,PSV U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
316,Raymond Beerens,20.0,midfield,RKC Waalwijk,"End of loanJun 30, 1992",in,Summer,-1.0,Eredivisie,1992,1992/1993
316,Mitchell van der Gaag,20.0,Centre-Back,Sparta R.,"End of loanJun 1, 1992",in,Summer,-1.0,Eredivisie,1992,1992/1993
316,Ernest Faber,20.0,Centre-Back,Sparta R.,"End of loanJun 30, 1992",in,Summer,-1.0,Eredivisie,1992,1992/1993
316,Jozef Chovanec,32.0,Central Midfield,Sparta Prague,"End of loanJun 30, 1992",in,Summer,-1.0,Eredivisie,1992,1992/1993
316,Jozef Chovanec,32.0,Central Midfield,Sparta Prague,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
316,Stan Valckx,28.0,Centre-Back,Sporting CP,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
316,Twan Scheepers,20.0,Centre-Forward,MVV Maastricht,loan transfer,out,Summer,-1.0,Eredivisie,1992,1992/1993
316,François Gesthuizen,19.0,Right Midfield,NAC Breda,loan transfer,out,Summer,-1.0,Eredivisie,1992,1992/1993
316,Arno Doomernik,21.0,Defensive Midfield,Sparta R.,loan transfer,out,Summer,-1.0,Eredivisie,1992,1992/1993
316,Tom Van Mol,19.0,Left-Back,Sparta R.,loan transfer,out,Summer,-1.0,Eredivisie,1992,1992/1993
316,Eric Gerets,38.0,Right-Back,Retired,-,out,Summer,-1.0,Eredivisie,1992,1992/1993
437,Nico-Jan Hoogma,23.0,Centre-Back,Cambuur L.,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
437,Arno Arts,23.0,Central Midfield,FC Luzern,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
437,Erik ten Hag,22.0,Centre-Back,De Graafschap,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
437,Prince Polley,23.0,Centre-Forward,Germinal Ekeren,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
437,Rik Platvoet,16.0,Centre-Forward,FC Twente U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
437,Edwin Hilgerink,20.0,defence,FC Twente U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
437,Arthur Numan,22.0,Left-Back,PSV Eindhoven,€1.27m,out,Summer,1.27,Eredivisie,1992,1992/1993
437,Mitar Mrkela,26.0,Left Winger,Besiktas,€364Th.,out,Summer,0.364,Eredivisie,1992,1992/1993
437,Orlando Trustfull,21.0,Defensive Midfield,Feyenoord,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
437,Husref Musemic,30.0,Centre-Forward,VVV-Venlo,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
437,Richard de Boer,21.0,defence,Unknown,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
437,Robin Schmidt,27.0,attack,Dordrecht'90,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
437,Jan van Rabenswaay,20.0,attack,Unknown,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
437,Eric van Rossum,29.0,Centre-Back,Unknown,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
437,Mark Wijnreder,18.0,attack,Unknown,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
437,Fred Rutten,29.0,Sweeper,Retired,-,out,Summer,-1.0,Eredivisie,1992,1992/1993
336,Edward Sijahailatua,21.0,midfield,NAC Breda,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
336,Jos van Herpen,30.0,Sweeper,KVK Tienen,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
336,Marco Boogers,25.0,Centre-Forward,Fortuna Sittard,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
336,Nico Jalink,28.0,Right Midfield,Port Vale,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
336,Jurgen Streppel,23.0,Centre-Back,Helmond Sport,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
336,David Nascimento,26.0,Centre-Back,Roda JC,free transfer,out,Summer,0.0,Eredivisie,1992,1992/1993
336,Marc van Hintum,25.0,Left-Back,Willem II,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
336,Patrick Leytens,22.0,midfield,Kozakken Boys,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
336,Anton Joore,37.0,Centre-Back,Retired,-,out,Summer,-1.0,Eredivisie,1992,1992/1993
336,Raymond Beerens,20.0,midfield,PSV Eindhoven,"End of loanJun 30, 1992",out,Summer,-1.0,Eredivisie,1992,1992/1993
208,Michael Obiku,23.0,Centre-Forward,Anorthosis,€364Th.,in,Summer,0.364,Eredivisie,1992,1992/1993
208,Rob van Dijk,23.0,Goalkeeper,Noordwijk,free transfer,in,Summer,0.0,Eredivisie,1992,1992/1993
208,Arnar Gunnlaugsson,19.0,Right Winger,ÍA Akranes,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
208,Dean Gorré,21.0,Right Winger,SVV,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
208,Orlando Trustfull,21.0,Defensive Midfield,Twente FC,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
208,Errol Refos,22.0,Centre-Back,Dordrecht'90,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
208,Lloyd Kammeron,20.0,Centre-Forward,Dordrecht'90,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
208,Bobby Petta,17.0,Left Midfield,Feyenoord U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
208,Ovidiu Sabau,24.0,Central Midfield,Brescia,€1.59m,out,Summer,1.59,Eredivisie,1992,1992/1993
208,Marian Damaschin,27.0,attack,FC Grenoble JI,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
208,Stanislav Griga,30.0,Centre-Forward,Rapid Vienna,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
208,Rob Grauwmeijer,20.0,Goalkeeper,Unknown,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
208,Sjaak Troost,32.0,defence,Retired,-,out,Summer,-1.0,Eredivisie,1992,1992/1993
208,Gerrit Plomp,29.0,Centre-Back,Retired,-,out,Summer,-1.0,Eredivisie,1992,1992/1993
161,Eric van Kessel,26.0,Left-Back,De Graafschap,€341Th.,in,Summer,0.341,Eredivisie,1992,1992/1993
161,Rick Slor,20.0,Right-Back,SC Veendam,free transfer,in,Summer,0.0,Eredivisie,1992,1992/1993
161,Lucian Ilie,24.0,Central Midfield,FC Wageningen,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
161,Ronald Hamming,19.0,Centre-Forward,Achilles 1894,?,in,Summer,-1.0,Eredivisie,1992,1992/1993
161,Bas Roorda,19.0,Goalkeeper,Groningen U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
161,Steven Gonesh,18.0,attack,Groningen U19,-,in,Summer,-1.0,Eredivisie,1992,1992/1993
161,Andrey Zygmantovich,29.0,Central Midfield,Dinamo Minsk,free transfer,out,Summer,0.0,Eredivisie,1992,1992/1993
161,Martin Drent,22.0,Centre-Forward,SC Veendam,loan transfer,out,Summer,-1.0,Eredivisie,1992,1992/1993
161,Marcel van Buuren,28.0,midfield,Unknown,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
161,Richard Douwes,22.0,midfield,Achilles 1894,?,out,Summer,-1.0,Eredivisie,1992,1992/1993
