club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
181,Rui Jorge,19.0,Left-Back,Rio Ave FC,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
181,Paulinho Santos,21.0,Defensive Midfield,Rio Ave FC,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
181,Antônio Carlos,28.0,Central Midfield,América,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
181,Paulinho McLaren,22.0,attack,Santos FC,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
181,Jorge Costa,20.0,Centre-Back,Marítimo,"End of loanJun 30, 1992",in,Summer,-1.0,Liga Nos,1992,1992/1993
181,Bino,19.0,Defensive Midfield,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,-1.0,Liga Nos,1992,1992/1993
181,Jorge Silva,20.0,Goalkeeper,Rio Ave FC,"End of loanJun 30, 1992",in,Summer,-1.0,Liga Nos,1992,1992/1993
181,António Folha,21.0,Left Winger,SC Braga,?,out,Summer,-1.0,Liga Nos,1992,1992/1993
181,Paulo Pereira,26.0,Right-Back,Vit. Guimarães,?,out,Summer,-1.0,Liga Nos,1992,1992/1993
181,Kiki,30.0,Attacking Midfield,SC Braga,?,out,Summer,-1.0,Liga Nos,1992,1992/1993
181,Jorge Andrade,29.0,Second Striker,Marítimo,?,out,Summer,-1.0,Liga Nos,1992,1992/1993
181,Carlos Padrão,32.0,Goalkeeper,Paços Ferreira,?,out,Summer,-1.0,Liga Nos,1992,1992/1993
181,Petar Mihtarski,25.0,Centre-Forward,Famalicão,loan transfer,out,Summer,-1.0,Liga Nos,1992,1992/1993
382,João Pinto,20.0,Second Striker,Boavista,€2.50m,in,Summer,2.5,Liga Nos,1992,1992/1993
382,Luis Mariano,23.0,Central Midfield,Estoril Praia,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Carlos Mozer,31.0,Centre-Back,Marseille,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Sergey Yuran,23.0,Centre-Forward,Dynamo Kyiv,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Mário Jorge,22.0,Central Midfield,Estoril Praia,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Fernando Mendes,25.0,Left-Back,Boavista,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Hélder Cristóvão,21.0,Centre-Back,Estoril Praia,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Pedro Roma,21.0,Goalkeeper,Coimbra,?,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Kenedy,18.0,Left-Back,Benfica U19,-,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Jose Quitongo,17.0,Right Winger,Benfica U19,-,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,José Dominguez,18.0,Left Winger,Benfica U19,-,in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Paulo Santos,19.0,Goalkeeper,Mirense,"End of loanJun 30, 1992",in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Erwin Sánchez,22.0,Attacking Midfield,Estoril Praia,"End of loanJun 30, 1992",in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Samuel,25.0,Centre-Back,Boavista,"End of loanJun 30, 1992",in,Summer,-1.0,Liga Nos,1992,1992/1993
382,Abel Silva,22.0,Right-Back,Marítimo,"End of loanJun 30, 1992",in,Summer,-1.0,Liga Nos,1992,1992/1993
382,João Pires,21.0,attack,Estoril Praia,?,out,Summer,-1.0,Liga Nos,1992,1992/1993
