club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
264,Pascal Nouma,20.0,Centre-Forward,Paris SG,loan transfer,in,Summer,-1.0,Ligue 1,1992,1992/1993
264,José Bray,27.0,midfield,Cannes,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
264,Walquir Mota,24.0,attack,FC Tours,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
264,Edgar Borges,22.0,Attacking Midfield,Nacional,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
264,Samba N'Diaye,19.0,Centre-Forward,FC Metz B,loan transfer,in,Summer,-1.0,Ligue 1,1992,1992/1993
264,Carl Tourenne,20.0,Centre-Back,LOSC Lille B,-,in,Summer,-1.0,Ligue 1,1992,1992/1993
264,Antoine Sibierski,17.0,Attacking Midfield,LOSC Lille U19,-,in,Summer,-1.0,Ligue 1,1992,1992/1993
264,Joël Dolignon,19.0,defence,LOSC Lille B,-,in,Summer,-1.0,Ligue 1,1992,1992/1993
264,Oumar Dieng,19.0,Centre-Back,Louh.-Cuiseaux,"End of loanJun 30, 1992",in,Summer,-1.0,Ligue 1,1992,1992/1993
264,Michael Mio-Nielsen,27.0,Right-Back,BK Frem,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
264,Racine Kané,32.0,Centre-Back,AS Beauvais,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
264,Antoine Cervetti,30.0,Left-Back,AS Porto Vecchio,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
264,Victor Da Silva,30.0,midfield,La Roche Vendée,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
308,James Debbah,22.0,Centre-Forward,Monaco,free transfer,in,Summer,0.0,Ligue 1,1992,1992/1993
308,Patrice Ferri,28.0,Centre-Back,SC Toulon Var,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
308,Éric Péan,28.0,Sweeper,SC Toulon Var,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
308,Laurent Delamontagne,26.0,Centre-Forward,Stade Rennais,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
308,Franck Gava,22.0,Left Midfield,AS Nancy,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
308,Samassi Abou,19.0,Centre-Forward,FC Martigues,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
308,Torben Frank,24.0,Centre-Forward,Lyngby BK,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
308,Maxence Flachez,19.0,Centre-Back,Olymp. Lyon B,-,in,Summer,-1.0,Ligue 1,1992,1992/1993
308,Alain Colacicco,19.0,defence,Olymp. Lyon B,-,in,Summer,-1.0,Ligue 1,1992,1992/1993
308,Florian Maurice,18.0,Centre-Forward,Olymp. Lyon U19,-,in,Summer,-1.0,Ligue 1,1992,1992/1993
308,Thomas Pfannkuch,22.0,Centre-Back,E. Braunschweig,free transfer,out,Summer,0.0,Ligue 1,1992,1992/1993
308,Ali Bouafia,27.0,Left Winger,R. Strasbourg,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
308,Alain Baré,25.0,attack,Unknown,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
308,Jean-Marc Knapp,29.0,Centre-Back,Amiens SC,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
308,Laurent Lassagne,26.0,Left-Back,Amiens SC,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
308,Milos Bursac,27.0,Centre-Forward,Celta de Vigo,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
308,Stéphane Roche,21.0,Central Midfield,FC Martigues,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
308,Aziz Bouderbala,31.0,Attacking Midfield,Estoril Praia,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
308,Pierre Chavrondier,20.0,midfield,FC Martigues,loan transfer,out,Summer,-1.0,Ligue 1,1992,1992/1993
308,Alim Ben Mabrouk,32.0,Defensive Midfield,Retired,-,out,Summer,-1.0,Ligue 1,1992,1992/1993
175,Serge Le Dizet,28.0,Right-Back,Stade Rennais,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
175,Fabien Debotté,28.0,Defensive Midfield,SM Caen,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
175,José Dalmao,22.0,attack,ES La Rochelle,?,in,Summer,-1.0,Ligue 1,1992,1992/1993
175,Anthony Martins,21.0,midfield,FC Nantes B,-,in,Summer,-1.0,Ligue 1,1992,1992/1993
175,Claude Makélélé,19.0,Defensive Midfield,FC Nantes B,-,in,Summer,-1.0,Ligue 1,1992,1992/1993
175,Marcel Desailly,23.0,Centre-Back,Marseille,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
175,Johnny Mölby,23.0,Central Midfield,Bor. M'gladbach,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
175,Jorge Burruchaga,29.0,Attacking Midfield,US Valenciennes,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
175,Jean-Jacques Eydelie,26.0,Defensive Midfield,Marseille,?,out,Summer,-1.0,Ligue 1,1992,1992/1993
