club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
283,Dion Dublin,23.0,Centre-Forward,Cambridge Utd.,€1.50m,in,Summer,1.5,Premier League,1992,1992/1993
283,Pat McGibbon,18.0,Centre-Back,Portadown,€225Th.,in,Summer,0.225,Premier League,1992,1992/1993
283,Andy Arnott,18.0,Defensive Midfield,Gillingham FC,loan transfer,in,Summer,-1.0,Premier League,1992,1992/1993
283,Kevin Pilkington,18.0,Goalkeeper,Man Utd U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
283,Simon Davies,18.0,midfield,Man Utd U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
283,Danny Wallace,29.0,Attacking Midfield,Millwall,"End of loanMay 31, 1993",in,Summer,-1.0,Premier League,1992,1992/1993
283,Mark Robins,22.0,Centre-Forward,Norwich,€1.00m,out,Summer,1.0,Premier League,1992,1992/1993
283,Neil Webb,28.0,Central Midfield,Nottm Forest,€925Th.,out,Summer,0.925,Premier League,1992,1992/1993
283,Mal Donaghy,34.0,Left-Back,Chelsea,€200Th.,out,Summer,0.2,Premier League,1992,1992/1993
283,Derek Brazil,23.0,Right-Back,Cardiff,€94Th.,out,Summer,0.094,Premier League,1992,1992/1993
283,Jason Lydiate,20.0,defence,Bolton,free transfer,out,Summer,0.0,Premier League,1992,1992/1993
283,Fraser Digby,26.0,Goalkeeper,Swindon Town,"End of loanMay 31, 1993",out,Summer,-1.0,Premier League,1992,1992/1993
121,Chris Armstrong,21.0,Centre-Forward,Millwall,€1.00m,in,Summer,1.0,Premier League,1992,1992/1993
121,Darren Patterson,22.0,Right-Back,Wigan,€340Th.,in,Summer,0.34,Premier League,1992,1992/1993
121,Paul Williams,27.0,attack,Sheff Wed,?,in,Summer,-1.0,Premier League,1992,1992/1993
121,Paul Heald,23.0,Goalkeeper,Leyton Orient,loan transfer,in,Summer,-1.0,Premier League,1992,1992/1993
121,Niall Thompson,18.0,attack,Palace U23,-,in,Summer,-1.0,Premier League,1992,1992/1993
121,George Ndah,17.0,Centre-Forward,Palace U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
121,Ricky Newman,22.0,Central Midfield,M. Invicta,"End of loanMay 1, 1993",in,Summer,-1.0,Premier League,1992,1992/1993
121,David Whyte,21.0,attack,Charlton,"End of loanMay 31, 1992",in,Summer,-1.0,Premier League,1992,1992/1993
121,Mark Bright,30.0,Centre-Forward,Sheff Wed,€1.70m,out,Summer,1.7,Premier League,1992,1992/1993
121,Rudi Hedman,27.0,Centre-Back,Dulwich Hamlet,free transfer,out,Summer,0.0,Premier League,1992,1992/1993
121,Jamie Moralee,20.0,attack,Millwall,?,out,Summer,-1.0,Premier League,1992,1992/1993
121,Neil Sullivan,23.0,Goalkeeper,Wimbledon FC,"End of loanMay 1, 1993",out,Summer,-1.0,Premier League,1992,1992/1993
121,Louie Donowa,28.0,Central Midfield,Birmingham,"End of loanMay 31, 1993",out,Summer,-1.0,Premier League,1992,1992/1993
300,Neil Webb,28.0,Central Midfield,Man Utd,€925Th.,in,Summer,0.925,Premier League,1992,1992/1993
300,Gary Bannister,32.0,Centre-Forward,West Brom,free transfer,in,Summer,0.0,Premier League,1992,1992/1993
300,Ray McKinnon,21.0,midfield,Dundee United,?,in,Summer,-1.0,Premier League,1992,1992/1993
300,Steve Blatherwick,18.0,Centre-Back,Notts County,?,in,Summer,-1.0,Premier League,1992,1992/1993
300,Craig Armstrong,17.0,Left-Back,Nottingham U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
300,Steve Guinan,16.0,Centre-Forward,Nottingham U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
300,Teddy Sheringham,26.0,Centre-Forward,Spurs,€3.15m,out,Summer,3.15,Premier League,1992,1992/1993
300,Des Walker,26.0,Centre-Back,Sampdoria,€1.70m,out,Summer,1.7,Premier League,1992,1992/1993
300,Tommy Gaynor,29.0,attack,Millwall,?,out,Summer,-1.0,Premier League,1992,1992/1993
300,Alan Mahood,19.0,Central Midfield,Morton,?,out,Summer,-1.0,Premier League,1992,1992/1993
300,Stuart Cash,27.0,Left-Back,Chesterfield FC,?,out,Summer,-1.0,Premier League,1992,1992/1993
45,John Jensen,27.0,Central Midfield,Bröndby IF,€1.60m,in,Summer,1.6,Premier League,1992,1992/1993
45,Gary McKeown,21.0,midfield,Shrewsbury,"End of loanJun 30, 1992",in,Summer,-1.0,Premier League,1992,1992/1993
45,Ian Selley,18.0,Central Midfield,Arsenal U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
45,Alan Miller,23.0,Goalkeeper,Birmingham,"End of loanMay 1, 1993",in,Summer,-1.0,Premier League,1992,1992/1993
45,Steve Morrow,21.0,Right-Back,Barnet,"End of loanJun 30, 1992",in,Summer,-1.0,Premier League,1992,1992/1993
45,John Bacon,19.0,Centre-Forward,Shamrock Rovers,"End of loanJun 1, 1992",in,Summer,-1.0,Premier League,1992,1992/1993
45,David Rocastle,25.0,Attacking Midfield,Leeds,€2.40m,out,Summer,2.4,Premier League,1992,1992/1993
45,Perry Groves,27.0,Left Winger,Southampton,€850Th.,out,Summer,0.85,Premier League,1992,1992/1993
45,Ty Gooden,19.0,midfield,Wycombe,?,out,Summer,-1.0,Premier League,1992,1992/1993
45,Gary McKeown,21.0,midfield,Dundee FC,?,out,Summer,-1.0,Premier League,1992,1992/1993
110,Nigel Spackman,31.0,Central Midfield,Rangers,€600Th.,in,Summer,0.6,Premier League,1992,1992/1993
110,Anthony Barness,19.0,Right-Back,Charlton,€525Th.,in,Summer,0.525,Premier League,1992,1992/1993
110,David Hopkin,22.0,Right Midfield,Morton,€450Th.,in,Summer,0.45,Premier League,1992,1992/1993
110,Mick Harford,33.0,Centre-Forward,Luton,€350Th.,in,Summer,0.35,Premier League,1992,1992/1993
110,Mal Donaghy,34.0,Left-Back,Man Utd,€200Th.,in,Summer,0.2,Premier League,1992,1992/1993
110,John Spencer,21.0,Centre-Forward,Rangers,free transfer,in,Summer,0.0,Premier League,1992,1992/1993
110,Alec Chamberlain,28.0,Goalkeeper,Luton,loan transfer,in,Summer,-1.0,Premier League,1992,1992/1993
110,Robert Fleck,26.0,Centre-Forward,Norwich,?,in,Summer,-1.0,Premier League,1992,1992/1993
110,Nick Colgan,18.0,Goalkeeper,Drogheda United,?,in,Summer,-1.0,Premier League,1992,1992/1993
110,Neil Shipperley,17.0,Centre-Forward,Chelsea U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
110,Frank Sinclair,20.0,Centre-Back,West Brom,"End of loanJun 30, 1992",in,Summer,-1.0,Premier League,1992,1992/1993
110,Damian Matthew,22.0,Central Midfield,Luton,"End of loanMay 31, 1993",in,Summer,-1.0,Premier League,1992,1992/1993
110,Dave Beasant,34.0,Goalkeeper,Wolves,"End of loanMay 31, 1993",in,Summer,-1.0,Premier League,1992,1992/1993
110,Jason Cundy,22.0,Centre-Back,Spurs,€875Th.,out,Summer,0.875,Premier League,1992,1992/1993
110,Ken Monkou,27.0,Centre-Back,Southampton,€844Th.,out,Summer,0.844,Premier League,1992,1992/1993
110,Vinnie Jones,27.0,Defensive Midfield,Wimbledon FC,€830Th.,out,Summer,0.83,Premier League,1992,1992/1993
110,Kerry Dixon,30.0,Centre-Forward,Southampton,€650Th.,out,Summer,0.65,Premier League,1992,1992/1993
110,Damian Matthew,22.0,Central Midfield,Luton,loan transfer,out,Summer,-1.0,Premier League,1992,1992/1993
110,Dave Beasant,33.0,Goalkeeper,Grimsby Town,loan transfer,out,Summer,-1.0,Premier League,1992,1992/1993
50,Dean Saunders,28.0,Centre-Forward,Liverpool,€2.85m,in,Summer,2.85,Premier League,1992,1992/1993
50,Ray Houghton,30.0,Central Midfield,Liverpool,€1.08m,in,Summer,1.08,Premier League,1992,1992/1993
50,Gareth Farrelly,16.0,Left Midfield,Home Farm,free transfer,in,Summer,0.0,Premier League,1992,1992/1993
50,Frank McAvennie,32.0,Centre-Forward,West Ham,?,in,Summer,-1.0,Premier League,1992,1992/1993
50,Dennis Pearce,18.0,defence,Aston Villa U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
50,Graham Fenton,18.0,Second Striker,Aston Villa U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
50,David Farrell,21.0,midfield,Scunthorpe Utd.,"End of loanMay 1, 1993",in,Summer,-1.0,Premier League,1992,1992/1993
50,Lee Williams,20.0,midfield,Shrewsbury,"End of loanMay 31, 1993",in,Summer,-1.0,Premier League,1992,1992/1993
50,Martin Carruthers,20.0,Centre-Forward,Hull City,"End of loanMay 31, 1993",in,Summer,-1.0,Premier League,1992,1992/1993
50,Ian Olney,22.0,Centre-Forward,Oldham Athletic,€894Th.,out,Summer,0.894,Premier League,1992,1992/1993
50,Kent Nielsen,30.0,Centre-Back,Aarhus GF,free transfer,out,Summer,0.0,Premier League,1992,1992/1993
50,Les Sealey,35.0,Goalkeeper,Birmingham,loan transfer,out,Summer,-1.0,Premier League,1992,1992/1993
50,Martin Carruthers,20.0,Centre-Forward,Hull City,loan transfer,out,Summer,-1.0,Premier League,1992,1992/1993
50,Ivo Stas,27.0,defence,Banik Ostrava,?,out,Summer,-1.0,Premier League,1992,1992/1993
267,David Rocastle,25.0,Attacking Midfield,Arsenal,€2.40m,in,Summer,2.4,Premier League,1992,1992/1993
267,Kevin Sharp,18.0,Left-Back,AJ Auxerre U19,€90Th.,in,Summer,0.09,Premier League,1992,1992/1993
267,Scott Sellars,26.0,Left Midfield,Blackburn,?,in,Summer,-1.0,Premier League,1992,1992/1993
267,Jamie Forrester,17.0,Left Winger,AJ Auxerre B,?,in,Summer,-1.0,Premier League,1992,1992/1993
267,Mervyn Day,37.0,Goalkeeper,Sheff Utd,"End of loanJun 30, 1992",in,Summer,-1.0,Premier League,1992,1992/1993
267,Mark Tinkler,17.0,Central Midfield,Leeds U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
267,Paul Pettinger,17.0,Goalkeeper,Leeds U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
267,Glynn Snodin,32.0,Left-Back,Rotherham,"End of loanJun 30, 1992",in,Summer,-1.0,Premier League,1992,1992/1993
267,Bobby Davison,33.0,attack,Leicester,€65Th.,out,Summer,0.065,Premier League,1992,1992/1993
267,John McClelland,36.0,Centre-Back,St. Johnstone,free transfer,out,Summer,0.0,Premier League,1992,1992/1993
267,Glynn Snodin,32.0,Left-Back,Heart of Midl.,free transfer,out,Summer,0.0,Premier League,1992,1992/1993
267,Frank Strandli,20.0,Centre-Forward,IK Start,loan transfer,out,Summer,-1.0,Premier League,1992,1992/1993
282,Rick Holden,27.0,Left Midfield,Oldham Athletic,?,in,Summer,-1.0,Premier League,1992,1992/1993
282,Terry Phelan,25.0,Left-Back,Wimbledon FC,?,in,Summer,-1.0,Premier League,1992,1992/1993
282,Richard Edghill,17.0,Right-Back,Man City U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
282,Adrian Mike,18.0,attack,Man City U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
282,John Foster,18.0,defence,Man City U18,-,in,Summer,-1.0,Premier League,1992,1992/1993
282,Adrian Mike,19.0,attack,Bury,"End of loanMay 31, 1993",in,Summer,-1.0,Premier League,1992,1992/1993
