club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
409,Mikhail Rusyaev,27.0,Centre-Forward,VfB Oldenburg,free transfer,in,Summer,0.0,Premier Liga,1992,1992/1993
409,Igor Ledyakhov,24.0,Central Midfield,Rotor Volgograd,free transfer,in,Summer,0.0,Premier Liga,1992,1992/1993
409,Nikolay Pisarev,23.0,Centre-Forward,FC Winterthur,?,in,Summer,-1.0,Premier Liga,1992,1992/1993
409,Andrey Tikhonov,21.0,Attacking Midfield,Titan Moskau,?,in,Summer,-1.0,Premier Liga,1992,1992/1993
409,Gennadiy Perepadenko,28.0,Right Winger,Tzafririm Holon,"End of loanJun 30, 1992",in,Summer,-1.0,Premier Liga,1992,1992/1993
409,Yuri Petrov,18.0,Centre-Forward,Loko Moscow,"End of loanDec 31, 1992",in,Summer,-1.0,Premier Liga,1992,1992/1993
409,Vladimir Baksheev,22.0,midfield,Tobol Kostanay,"End of loanSep 5, 1992",in,Summer,-1.0,Premier Liga,1992,1992/1993
409,Gennadiy Perepadenko,28.0,Right Winger,Badajoz,free transfer,out,Summer,0.0,Premier Liga,1992,1992/1993
409,Oleg Kuzhlev,25.0,Right Midfield,ES Sahel,?,out,Summer,-1.0,Premier Liga,1992,1992/1993
409,Aleksandr Shibaev,30.0,defence,Din-Gaz Tyumen,?,out,Summer,-1.0,Premier Liga,1992,1992/1993
409,Kakhaber Tskhadadze,23.0,Centre-Back,Dinamo Moscow,?,out,Summer,-1.0,Premier Liga,1992,1992/1993
409,Evgeni Bushmanov,20.0,Centre-Back,CSKA Moscow,?,out,Summer,-1.0,Premier Liga,1992,1992/1993
409,Velli Kasumov,23.0,Centre-Forward,Dinamo Moscow,?,out,Summer,-1.0,Premier Liga,1992,1992/1993
409,Rashid Rakhimov,27.0,Left Midfield,Real Valladolid,?,out,Summer,-1.0,Premier Liga,1992,1992/1993
409,Yuri Petrov,18.0,Centre-Forward,Loko Moscow,?,out,Summer,-1.0,Premier Liga,1992,1992/1993
409,Vladimir Baksheev,22.0,midfield,Tobol Kostanay,loan transfer,out,Summer,-1.0,Premier Liga,1992,1992/1993
409,Aleksandr Bondar,25.0,Defensive Midfield,Terek Grozny,"End of loanMay 1, 1993",out,Summer,-1.0,Premier Liga,1992,1992/1993
274,Yuri Petrov,18.0,Centre-Forward,Spartak Moscow,?,in,Summer,-1.0,Premier Liga,1992,1992/1993
274,Mikhail Maryushkin,25.0,Centre-Forward,Pirin GD,free transfer,out,Summer,0.0,Premier Liga,1992,1992/1993
274,Gennadi Semin,24.0,Left Winger,Факел-Воронеж,?,out,Summer,-1.0,Premier Liga,1992,1992/1993
274,Khasanbi Bidzhiev,26.0,Goalkeeper,H. Petah Tikva,?,out,Summer,-1.0,Premier Liga,1992,1992/1993
