club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
348,Alberto López,23.0,Goalkeeper,Real Sociedad B,-,in,Summer,-1.0,Primera Division,1992,1992/1993
348,Iñigo Idiakez,18.0,Attacking Midfield,R. Sociedad U19,-,in,Summer,-1.0,Primera Division,1992,1992/1993
348,José González,27.0,Goalkeeper,Valencia,?,out,Summer,-1.0,Primera Division,1992,1992/1993
122,Igor Stimac,24.0,Centre-Back,Hajduk Split,?,in,Summer,-1.0,Primera Division,1992,1992/1993
122,Quino,21.0,attack,CD Málaga,?,in,Summer,-1.0,Primera Division,1992,1992/1993
122,Feliciano Casanova,26.0,defence,R. B. Linense,?,in,Summer,-1.0,Primera Division,1992,1992/1993
122,Francisco Javier Aragón,23.0,attack,Elche CF,"End of loanJun 30, 1992",in,Summer,-1.0,Primera Division,1992,1992/1993
122,José Ramón Bermell,30.0,Goalkeeper,Real Zaragoza,?,out,Summer,-1.0,Primera Division,1992,1992/1993
122,József Szendrei,38.0,Goalkeeper,Retired,-,out,Summer,-1.0,Primera Division,1992,1992/1993
122,Indio Vázquez,27.0,midfield,Retired,-,out,Summer,-1.0,Primera Division,1992,1992/1993
122,Tilico,27.0,attack,São Paulo,"End of loanJun 30, 1992",out,Summer,-1.0,Primera Division,1992,1992/1993
455,Miodrag Belodedici,28.0,Sweeper,Red Star,€1.68m,in,Summer,1.68,Primera Division,1992,1992/1993
455,Gaizka Mendieta,18.0,Right Midfield,CD Castellón,€180Th.,in,Summer,0.18,Primera Division,1992,1992/1993
455,Álvaro Cervera,26.0,attack,RCD Mallorca,?,in,Summer,-1.0,Primera Division,1992,1992/1993
455,José González,27.0,Goalkeeper,Real Sociedad,?,in,Summer,-1.0,Primera Division,1992,1992/1993
455,Juan Sánchez,20.0,Centre-Forward,Valencia B,-,in,Summer,-1.0,Primera Division,1992,1992/1993
455,José Manuel Ochotorena,31.0,Goalkeeper,CD Tenerife,?,out,Summer,-1.0,Primera Division,1992,1992/1993
455,Emilio Fenoll,27.0,attack,Real Burgos CF,?,out,Summer,-1.0,Primera Division,1992,1992/1993
455,Toni,26.0,attack,Real Valladolid,?,out,Summer,-1.0,Primera Division,1992,1992/1993
455,Nando,25.0,defence,Dep. La Coruña,?,out,Summer,-1.0,Primera Division,1992,1992/1993
455,Rommel Fernández,,attack,Albacete,?,out,Summer,-1.0,Primera Division,1992,1992/1993
