club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
386,Paolo Ziliani,21.0,Sweeper,Brescia,?,in,Summer,-1.0,Serie A,1992,1992/1993
386,Roberto Policano,28.0,Left-Back,Torino,?,in,Summer,-1.0,Serie A,1992,1992/1993
386,Carlo Cornacchia,27.0,Right-Back,Atalanta,?,in,Summer,-1.0,Serie A,1992,1992/1993
386,Giorgio Bresciani,23.0,Centre-Forward,Cagliari Calcio,?,in,Summer,-1.0,Serie A,1992,1992/1993
386,Luca Altomare,20.0,Central Midfield,Reggiana,?,in,Summer,-1.0,Serie A,1992,1992/1993
386,Fausto Pari,29.0,Defensive Midfield,Sampdoria,?,in,Summer,-1.0,Serie A,1992,1992/1993
386,Daniel Fonseca,22.0,Centre-Forward,Cagliari Calcio,?,in,Summer,-1.0,Serie A,1992,1992/1993
386,Jonas Thern,25.0,Central Midfield,Benfica,?,in,Summer,-1.0,Serie A,1992,1992/1993
386,Angelo Carbone,24.0,Right Midfield,Milan,loan transfer,in,Summer,-1.0,Serie A,1992,1992/1993
386,Fabio Cannavaro,18.0,Centre-Back,Napoli U19,-,in,Summer,-1.0,Serie A,1992,1992/1993
386,Laurent Blanc,26.0,Centre-Back,Nîmes Olympique,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Ernesto Gallo,19.0,midfield,Retired,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Marco Ferrante,21.0,Centre-Forward,AC Parma,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Gianfranco Germoni,19.0,defence,Barletta CS,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Stefano De Agostini,27.0,Defensive Midfield,Atalanta,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Vittorio Pusceddu,28.0,Left-Back,Cagliari Calcio,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Claudio Bonomi,19.0,Left Midfield,Castel di Sangro,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Andrea Silenzi,26.0,Centre-Forward,Torino,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Michele Padovano,25.0,Centre-Forward,Genoa,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Alemão,30.0,Defensive Midfield,Atalanta,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Fernando De Napoli,28.0,Central Midfield,Milan,?,out,Summer,-1.0,Serie A,1992,1992/1993
386,Giuseppe Taglialatela,23.0,Goalkeeper,Ternana,loan transfer,out,Summer,-1.0,Serie A,1992,1992/1993
386,Massimo Filardi,25.0,Left-Back,Unknown,-,out,Summer,-1.0,Serie A,1992,1992/1993
438,Des Walker,26.0,Centre-Back,Nottm Forest,€1.70m,in,Summer,1.7,Serie A,1992,1992/1993
438,Enrico Chiesa,21.0,Centre-Forward,Chieti,free transfer,in,Summer,0.0,Serie A,1992,1992/1993
438,Michele Serena,22.0,Left-Back,Verona,?,in,Summer,-1.0,Serie A,1992,1992/1993
438,Mauro Bertarelli,21.0,attack,Ancona,?,in,Summer,-1.0,Serie A,1992,1992/1993
438,Stefano Sacchetti,19.0,Centre-Back,Modena,?,in,Summer,-1.0,Serie A,1992,1992/1993
438,Vladimir Jugovic,22.0,Left Midfield,Red Star,?,in,Summer,-1.0,Serie A,1992,1992/1993
438,Nicola Zanini,18.0,Attacking Midfield,Juventus,?,in,Summer,-1.0,Serie A,1992,1992/1993
438,Eugenio Corini,21.0,Defensive Midfield,Juventus,?,in,Summer,-1.0,Serie A,1992,1992/1993
438,Roberto Bucchioni,19.0,defence,Sampdoria U19,-,in,Summer,-1.0,Serie A,1992,1992/1993
438,Gianluca Vialli,27.0,Centre-Forward,Juventus,€16.50m,out,Summer,16.5,Serie A,1992,1992/1993
438,Giorgio Zanutta,18.0,defence,SPAL,?,out,Summer,-1.0,Serie A,1992,1992/1993
438,Fausto Pari,29.0,Defensive Midfield,Napoli,?,out,Summer,-1.0,Serie A,1992,1992/1993
438,Silas,26.0,Central Midfield,Internacional,?,out,Summer,-1.0,Serie A,1992,1992/1993
438,Alessandro Orlando,22.0,Left-Back,Udinese,?,out,Summer,-1.0,Serie A,1992,1992/1993
438,Dario Bonetti,30.0,Centre-Back,SPAL,?,out,Summer,-1.0,Serie A,1992,1992/1993
438,Giovanni Dall'Igna,19.0,Right-Back,SPAL,loan transfer,out,Summer,-1.0,Serie A,1992,1992/1993
438,Sergio Porcù,20.0,Goalkeeper,Retired,-,out,Summer,-1.0,Serie A,1992,1992/1993
51,Leonardo Rodríguez,25.0,Attacking Midfield,Marseille,€4.80m,in,Summer,4.8,Serie A,1992,1992/1993
51,Maurizio Ganz,23.0,Centre-Forward,Brescia,€120Th.,in,Summer,0.12,Serie A,1992,1992/1993
51,Claudio Mascheretti,22.0,defence,Palazzolo,?,in,Summer,-1.0,Serie A,1992,1992/1993
51,Oscar Magoni,24.0,Defensive Midfield,SC Leffe,?,in,Summer,-1.0,Serie A,1992,1992/1993
51,Maurizio Codispoti,28.0,defence,Foggia,?,in,Summer,-1.0,Serie A,1992,1992/1993
51,Roberto Rambaudi,26.0,Right Winger,Foggia,?,in,Summer,-1.0,Serie A,1992,1992/1993
51,Marco Ambrosio,19.0,Goalkeeper,Lumezzane U19,?,in,Summer,-1.0,Serie A,1992,1992/1993
51,Stefano De Agostini,27.0,Defensive Midfield,Napoli,?,in,Summer,-1.0,Serie A,1992,1992/1993
51,Davide Pinato,28.0,Goalkeeper,Piacenza,?,in,Summer,-1.0,Serie A,1992,1992/1993
51,Alemão,30.0,Defensive Midfield,Napoli,?,in,Summer,-1.0,Serie A,1992,1992/1993
51,Iván Valenciano,20.0,Centre-Forward,Junior FC,?,in,Summer,-1.0,Serie A,1992,1992/1993
51,Paolo Montero,20.0,Centre-Back,Peñarol,?,in,Summer,-1.0,Serie A,1992,1992/1993
