club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,last_season,url,transfer_euros
2239,us-cremonese,444,IT1,26,26.0,12,46.2,7,Giovanni Zini,16003,€-33.80m,2022,https://www.transfermarkt.co.uk/us-cremonese/startseite/verein/2239,-33800000.0
2423,cd-santa-clara,88,PO1,31,25.8,20,64.5,2,Estádio de São Miguel,15000,+€5.85m,2022,https://www.transfermarkt.co.uk/cd-santa-clara/startseite/verein/2423,5850000.0
383,psv-eindhoven,316,NL1,24,25.5,14,58.3,8,Philips Stadion,35000,+€83.75m,2022,https://www.transfermarkt.co.uk/psv-eindhoven/startseite/verein/383,83750000.0
60,sc-freiburg,370,L1,26,26.2,10,38.5,10,Europa-Park Stadion,34700,+€5.43m,2022,https://www.transfermarkt.co.uk/sc-freiburg/startseite/verein/60,5430000.0
6574,us-sassuolo,448,IT1,26,25.8,15,57.7,8,Mapei Stadium - Città del Tricolore,21584,+€21.56m,2022,https://www.transfermarkt.co.uk/us-sassuolo/startseite/verein/6574,21560000.0
667,rc-strassburg-alsace,332,FR1,26,26.6,11,42.3,8,Stade de la Meinau,29000,+€3.90m,2022,https://www.transfermarkt.co.uk/rc-strassburg-alsace/startseite/verein/667,3900000.0
200,fc-utrecht,191,NL1,30,25.6,13,43.3,4,"Stadion ""Galgenwaard""",23750,+€8.80m,2022,https://www.transfermarkt.co.uk/fc-utrecht/startseite/verein/200,8800000.0
2503,boavista-porto-fc,68,PO1,28,25.6,16,57.1,8,Estádio do Bessa Sec. XXI,28263,+€12.25m,2022,https://www.transfermarkt.co.uk/boavista-porto-fc/startseite/verein/2503,12250000.0
2687,fc-cadiz,122,ES1,29,29.0,9,31.0,4,Nuevo Mirandilla,21094,€-8.50m,2022,https://www.transfermarkt.co.uk/fc-cadiz/startseite/verein/2687,-8500000.0
46,inter-mailand,241,IT1,27,28.4,16,59.3,17,Giuseppe Meazza,75923,€-34.55m,2022,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46,-34550000.0
49702,fk-nizhny-novgorod,178,RU1,26,25.7,5,19.2,1,Nizhny Novgorod Stadium,44242,+€230k,2022,https://www.transfermarkt.co.uk/fk-nizhny-novgorod/startseite/verein/49702,230000.0
631,fc-chelsea,110,GB1,32,25.4,21,65.6,23,Stamford Bridge,40853,€-543.66m,2022,https://www.transfermarkt.co.uk/fc-chelsea/startseite/verein/631,-543660000.0
86,sv-werder-bremen,389,L1,26,25.3,9,34.6,6,Wohninvest-Weserstadion,42100,€-2.15m,2022,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86,-2150000.0
1082,losc-lille,264,FR1,23,26.0,15,65.2,8,Decathlon Arena-Stade Pierre-Mauroy,50186,+€75.50m,2022,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082,75500000.0
16704,fk-krasnodar,197,RU1,23,24.7,12,52.2,5,Stadion Krasnodar,35179,+€1.66m,2022,https://www.transfermarkt.co.uk/fk-krasnodar/startseite/verein/16704,1660000.0
180,fc-southampton,403,GB1,30,25.5,21,70.0,15,St Mary's Stadium,32384,€-138.15m,2022,https://www.transfermarkt.co.uk/fc-southampton/startseite/verein/180,-138150000.0
317,fc-twente-enschede,437,NL1,24,25.3,10,41.7,4,De Grolsch Veste,30205,€-500k,2022,https://www.transfermarkt.co.uk/fc-twente-enschede/startseite/verein/317,-500000.0
6912,fc-vizela,192,PO1,26,24.9,19,73.1,4,Estádio do Vizela,6565,+€900k,2022,https://www.transfermarkt.co.uk/fc-vizela/startseite/verein/6912,900000.0
703,nottingham-forest,300,GB1,35,28.1,23,65.7,19,The City Ground,30445,€-185.75m,2022,https://www.transfermarkt.co.uk/nottingham-forest/startseite/verein/703,-185750000.0
